Aconia Minor	aconia	Valeria Cavalli
Aélis	aelis	Anne-Valérie Soler
Angharad	angharad	Vanessa Guedj
Anna de Tintagel	anna	Anouk Grinberg
Anton	anton	Guy Bedos
Ao Si Ka	ao-si-ka	Tien Vuong Nguyen
Appius Manilius	manilius	Emmanuel Meirieu
Arthur Pendragon	arthur	Alexandre Astier
Attila	attila	Truong Lan
Aulus Milonius Procyon procyon Frédéric Forestier
Azénor	azenor	Emma de Caunes
Aziliz	aziliz	Alexandra Saadoun
Belt	belt	François Morel
Berlewen	berlewen	Virginie Efira
Bohort	bohort	Nicolas Gabion
Boniface	boniface	Marcel Philippot
Breccan	breccan	Yvan Le Bolloc’h
Buzit	buzit	Didier Bénureau
Caius Camillus	camillus	Bruno Salomone
Caius Papinius	papinius	Jonathan Chiche
Calogrenant	calogrenant	Stéphane Margot
Cæsar Imperator	cesar	Pierre Mondy
Cryda de Tintagel	cryda	Claire Nadeau
Dagonet	dagonet	Antoine de Caunes
Demetra	demetra	Caroline Pascal
Drusilla	drusilla	Anne Benoît
Edern	edern	Émilie Dequenne
Elias de Kelliwic’h	elias	Bruno Fontaine
Evaine	evaine	Claire Wauthion
Ferghus	ferghus	Alban Lenoir
Fearmac	fearmac	Bernard Le Coq		
Galessin	galessin	Alexis Hénon
Gauvain	gauvain	Aurélien Portehaut
Goustan	goustan	Philippe Nahon
Grüdü	grudu	Thibault Roux
Guenièvre	guenievre	Anne Girouard
Guethenoc	guethenoc	Serge Papagalli
Hagop d’Arménie	hagop	Philippe Ayanian
Herveig	herveig	Bruno Solo
Hervé de Rinel	herve	Tony Saba
Hoël d’Armorique	hoel	Eddy Letexier
Jacca	jacca	Georges Beller
Julia	julia	Marion Creusvaux
Kadoc	kadoc	Brice Fournier
Karadoc	karadoc	Jean-Christophe Hembert
Kay	kay	Julien Dutel
Keu	keu	Christophe Kourotchkine
Ketchatar	ketchatar	Valentin Traversi
L’Ankou	ankou	Ged Marlon
L’interprète burgonde	interprete	Lorànt Deutsch
La Dame des Bois	dame-du-bois	Marie-Laure Rongier
La Dame du Feu	dame-du-feu	Anne-Gaëlle Daval
La Dame du Lac	dame-du-lac	Audrey Fleurot
La Dame des Pierres dame-des-pierres Rachel Arditi
La Dame de la Sauvegarde	dame-sauvegarde	Aude Charlon
La duchesse d’Aquitaine	duchesse-aquitaine	Géraldine Nakache
La fée mère	fee-mere	Stéphanie Lagarde
La fée Morgane	morgane	Léa Drucker
Lan	lan	Sébastien Richard
Lancelot du Lac	lancelot	Thomas Cousseau
Le chef maure	chef-maure	Arsène Mosca
Le duc d’Aquitaine	duc-aquitaine	Alain Chabat	
Le jeune Maure	jeune-maure	Karim Quayouh
Le jurisconsulte	jurisconsulte Christian Clavier
Le maître d’armes	maitre-d-armes	Christian Bujeau
Le Pêcheur	pecheur	Patrick Bouchitey
Le père de Bohort	pere-bohort	Philippe Morier-Genoud
Le Répurgateur	repurgateur Élie Semoun
Le roi burgonde	roi-burgonde	Guillaume Briat
Le tavernier	tavernier	Alain Chapuis
Le tricheur	tricheur	Laurent Gamelon
Léodagan	leodagan	Lionnel Astier
Licinia	licinia	Lou Bonetti
Lionel de Gaunes	lionel	Étienne Fague
Loth d’Orcanie	loth	François Rollin
Lucius Falerius	falerius	Jordan Topenas
Lucius Silius Sallustius	sallustius	Patrick Chesnais
Madenn	madenn	Barbara Schulz
Mamercus Flaccus Calvo	flacus	Gille Galliot
Manius Macrinus Firmus	macrinus	Tchéky Karyo
Marcus Oranius Lurco	oranius	Patrick Catalifo
Méléagant	meleagant	Carlo Brandt
Merlin	merlin	Jacques Chambon
Mevanwi	mevanwi	Caroline Ferrus
Narsès	narses	Denis Maréchal
Nathair	nathair	Luc Chambon
Nessa	nessa	Valérie Kéruzoré
Perceval de Galles	perceval	Franck Pitiot
Père Blaise blaise	Jean-Robert Lombard
Prisca	prisca	Valérie Benguigui
Publius Desticius	desticius	Alain Doutey
Publius Servius Capito	servius	François Levantal
Robyn	robyn	Roland Giraud
Roparzh	roparzh	Gilles Graveleau
Séfriane d’Aquitaine	sefriana	Axelle Laffont
Séli	seli	Joëlle Sevilla
Spurius Cordius Frontinius	fontinius	Pascal Demolon
Sven	sven	Bruno Boeglin
Tegeirian	tegeirian	Caroline Victoria
Titus Nipius Glaucia	glaucia	Jean-Marc Avocat
Torri	torri	Amanda Lionet
Tumet	tumet	Magali Saadoun
Urgan	urgan	Pascal Vincent
Uther Pendragon	uther	Alexandre Astier
Venec	venec	Loïc Varraut
Verinus	verinus	Manu Payet
Vibius Iuventius Bestia	bestia	Michel Bernini
Vibius Pisentius Petrus	petrus Jean-Yves Chatelais
Ygerne de Tintagel	ygerne	Josée Drevon
Yvain	yvain	Simon Astier
