Le tavernier	Voilà, et une assiette de "Barbaque" pour Messire Karadoc et un coup de "Cachner" pour Messire Perceval. Et il est pas beau mon Graal. Ils rient tous les trois. Le tavernier part, Karadoc et Perceval s’arrêtent de rire, Perceval vide son verre et Karadoc le cache sous son manteau. Ils regardent autour d’eux pour s’assurer que personne ne les a vus.
Arthur Pendragon	Bon, qu’est-ce qui est à l’ordre du jour aujourd’hui ?
Père Blaise	Et bien avant tout, Messire Bohort désirait soumettre un problème à l’assemblée.
Arthur Pendragon	Allez-y Bohort.
Bohort	Plus qu’un véritable problème, ce serait plutôt une remarque.
Léodagan	Je sens que ça va encore être capital…
Arthur Pendragon	Non, beau-père, s’il vous plait. On vous écoute.
Bohort	C’est à propos du Graal.
Arthur Pendragon	Du Graal ! A bah très bien, pour une fois que c’est pas moi qui met ça sur le tapis !
Bohort	Nous sommes d’accord pour dire que depuis le début de cette quête nous sommes à la recherche d’un vase ou d’une coupe, n’est-ce pas ?
Arthur Pendragon	Oui.
Bohort	Et bien d’après mes derniers renseignements, il serait tout à fait possible que le Graal ne soit ni un vase, ni une coupe, mais … un récipient.
Arthur Pendragon	Ça fait plaisir de voir que ça avance.
Bohort	J’ai l’impression que vous ne saisissez pas bien la nuance.
Léodagan	Bon, on enchaine ! Je vous rappelle qu’il faut qu’on aborde le problème des tourelles de la plage !
Bohort	Non mais je vous assure ! Vous auriez vu le vieil homme mystérieux qui m’a donné ces indications ! Il a fait ce gesteet il a dit
Karadoc	Du coup, ce serait un genre de saladier.
Léodagan	Oh non mais c’est pas vrai.
Arthur Pendragon	Ecoutez Bohort, sans vouloir être blessant, est-ce que vous êtes sur que ça change quelque chose ?
Bohort	Il me semble que pour bien chercher il faut savoir ce qu’on cherche.
Arthur Pendragon	De toute façon le Graal, que ce soit un vase, un saladier ou un service à dessert, on a aucune piste alors…
Bohort	Justement, je pense que ça pourrait être un début de piste.
Léodagan	Un début de piste ? Alors maintenant dès qu’un clodo vient nous taper deux ronds pour picoler on tient une piste ?
Perceval de Galles	A ce moment-là, moi aussi j’en ai des pistes. Y’a un an au pays de Galles, y a un type tout bizarre qui vient me voir. Je m’en souviens, il avait ça de poil dans les oreilles. Il sentait la boucane, j’ai failli gerber. Y me dit oui tatati, tatata, le Graal, en fait, c’est une pierre incandescente.
Arthur Pendragon	Quoi ? Mais vous nous avez jamais parlé de ça ?
Perceval de Galles	Bah non.
Arthur Pendragon	Mais pourquoi ?
Perceval de Galles	Bah déjà parce qu’à l’époque je savais pas ce que ça voulait dire incandescente.
Karadoc	Et maintenant vous savez ?
Perceval de Galles	Bah je l’ai su à une époque, mais maintenant …
Arthur Pendragon	Peu importe enfin ! Ça fait des années qu’on cherche un vase nous ! Un vase ou une pierre incandescente c’est quand même pas pareil !
Lancelot du Lac	Le problème c’est que y’en a pas un qui dit la même chose.
Perceval de Galles	Eh ouais, c’est pour ça, moi j’ai arrêté le Graal.
Arthur Pendragon	Comment "j’ai arrêté le Graal" !
Perceval de Galles	Bah au bout d’un moment c’est un truc à se casser les dents ça ! Non, moi j’m’occupe de mon cas, c’est déjà pas mal !
Arthur Pendragon	Je vais m’occuper de votre cas moi aussi.
Arthur Pendragon	Si le Graal c’est une pierre, vous admettrez que ça change tout.
Perceval de Galles	Le Graal déjà. Pourquoi forcément un mot compliqué qui veut rien dire. Il l’aurait appelé la coupe ou le vase, on serait fixé.
Léodagan	Vous voulez dire qu’on l’aurait trouvé ?
Perceval de Galles	Ah non, mais on serait fixé.
Lancelot du Lac	Le Graal est un objet dont Joseph d’Arimathie s’est servi pour recueillir le sang de Jésus !
Bohort	Donc, un récipient.
Arthur Pendragon	Bah un récipient, un vase ou une coupe, on peut bien recueillir du sang dedans non ?
Léodagan	La question c’est dans quoi d’autre peut-on recueillir du sang de Jésus ?
Bohort	Dans un récipient !
Perceval de Galles	C’est pas compliqué. Comment ils font les mecs avec les porcs pour le boudin.
Bohort	Mais avec un récipient !
Léodagan	Un vase ou une coupe pour recueillir le sang de Jésus, d’accord, je visualise, mais avec une pierre incandescente, là pardon ! Faut qu’on m’explique !
Perceval de Galles	A moins qu’incandescente ça veuille dire "qui peut contenir du liquide".
Karadoc	Franchement, vous êtes Joseph d’Arimathie. Vous vous pointez devant Jésus qui pisse le sang. Dans quoi vous le récupérez le sang.
Perceval de Galles	Dans un bocal à anchois. Déjà pour la contenance, je peux pomper un demi-gallon de sang, je suis tranquille. Et surtout qu’après je peux refermer le bocal, j’en fous pas de partout dans mon sac. Si Joseph d’Arimathie a pas été trop con, vous pouvez être sur que le Graal, c’est un bocal à Anchois.
