Le tavernier	Eh ben, allez ! Une journée de plus en moins ! On va aller dormir et de main on recommence ! Je peux vous dire que tavernier, c’est pas une sinécure !
Karadoc	Ouais, c’est pas faux.
Perceval de Galles	J’ai jamais su ce que ça voulait dire, sinécure.
Karadoc	Moi non plus. Quand vous comprenez pas, vous dites "c’est pas faux", comme ça vous passez pas pour un glandu. C’est ma botte secrète.
Perceval de Galles	C’est pas faux ?
Arthur Pendragon	Faudra quand même qu’on se décide à mettre un poste de garde sur cette route, hein. Trois fois qu’on se fait surprendre comme des bleus par les Vandales…
Perceval de Galles	Le problème c’est que quand on met des mecs à un poste de garde, la première semaine ils jouent aux cartes, ils font leur petit rata… Mais après avec la solitude, ils sont beurrés du soir au matin. On les retrouve affalés sur la table.
Arthur Pendragon	Mais ils se dé-brouillent ! Une relève toutes les deux semaines, je me fous pas d’eux quand même ! C’est ça monter la garde, hein, je suis désolé ! On n’a jamais dit qu’c’était une sinécure…
Perceval de Galles	C’est pas faux…
Arthur Pendragon	Alors les Vandales arrivent, au poste de garde ils sont surpris ils ont même pas le temps de donner l’alerte !
Perceval de Galles	La première semaine ça va.
Arthur Pendragon	La première semaine ! Vous irez leur dire aux Vandales qu’il faut pas qu’ils se pointent en deuxième semaine parce que nos gardes supportent pas la solitude !
Perceval de Galles	Bah je sais bien…
Arthur Pendragon	Sans blague vous trouvez pas que c’est paradoxal ?
Perceval de Galles	Ouais c’est pas faux…
Arthur Pendragon	Et alors…
Lancelot du Lac	On va pas courir vers des points de retraite en sachant qu’ils sont complètement exposés !
Arthur Pendragon	On n’en sait rien, venez pas me la jouer ! Les éclaireurs sont pas rentrés c’est tout, ça veut rien dire ça !
Lancelot du Lac	Bon, il faut qu’on trouve un autre point.
Arthur Pendragon	Ah, je croyais que les cartes étaient fausses, faudrait savoir !
Perceval de Galles	Attendez ! J’ai pas dit qu’elles étaient fausses, on m’a dit qu’elles étaient pas d’hier, c’est pas pareil !
Lancelot du Lac	Mais elles sont vieilles comment ?
Perceval de Galles	J’en sais rien moi je vous répète ce qu’on m’a dit ! De toute façon j’y comprends rien aux cartes !
Arthur Pendragon	Ah faites un effort, hein !
Perceval de Galles	Moi on m’a dit, "attention elles sont pas d’hier" !
Lancelot du Lac	Bon d’accord elles sont pas d’hier, mais est-ce que vous pensez qu’elles sont obsolètes ?
Perceval de Galles	C’est pas faux…
Arthur Pendragon	Quoi c’est pas faux ?
Perceval de Galles	De quoi ?
Lancelot du Lac	Nan on vous demande si vous pensez que les cartes sont obsolètes !
Perceval de Galles	Bah c’est pas faux !
Arthur Pendragon	Ah ouais d’accord, on s’est fait refiler des cartes d’y a vingt ans quoi !
Perceval de Galles	J’ai pris ce qu’y avait moi !
Arthur Pendragon	Ah vous vous êtes encore débrouillé comme un chef, hein, je me demande vraiment ce qu’on peut vous confier !
Lancelot du Lac	Bon écoutez, on tente une passe triple. On est trois.
Perceval de Galles	De quoi ?
Arthur Pendragon	Ah ouais une passe triple c’est pas con… On a nos chances.
Perceval de Galles	Ouais c’est pas faux…
Lancelot du Lac	Convergente ?
Arthur Pendragon	Euh… divergente, à cause des arbres.
Perceval de Galles	Ouais c’est pas faux !
Lancelot du Lac	Trois, deux, un… Allez !
Perceval de Galles	Ouais c’est pas faux !
Angharad	C’est vrai qu’en ce moment ça va pas fort… Heureusement que vous êtes là pour me réconforter.
Perceval de Galles	C’est bien normal.
Angharad	Non, quand même. Combien y’en a qui se débinent dès qu’y a quelque chose qui cloche… Perceval
Angharad	Puis surtout qu’on s’est pas vus beaucoup ces derniers temps…
Perceval de Galles	Bah les responsabilités, toujours sur la brèche.
Angharad	Beaucoup d’envahisseurs à re pousser ces temps-ci ou… ?
Perceval de Galles	C’est pas tellement ça mais bon, Arthur a souvent besoin de moi pour des conseils stratégiques. Disons que je chapeaute un petit peu tout ce qui est "actions militaires" sur le territoire breton. C’est du travail.
Angharad	Ah… c’est d’autant plus gentil à vous d’avoir pris un peu de temps pour moi. Non je… je sais pas ce qui m’arrive ces jours-ci… je me regarde dans le miroir et je… j’ai l’impression d’être… insipide… mais alors…
Perceval de Galles	Ouais, c’est pas faux.
Angharad	Bon, ça m’a fait du bien de parler, hum, merci.
Perceval de Galles	Les travers de porc c’est pas mauvais, mais ça vaut pas les côtelettes. Les côtelettes c’est plus savoureux.
Arthur Pendragon	Ouais c’est pas faux.
Perceval de Galles	Sans blague, vous savez pas ce que ça veut dire "savoureux" ?
Arthur Pendragon	Ben évidemment que si… !
Perceval de Galles	C’est "côtelettes" que vous comprenez pas ?
