Calogrenant	Sont toujours là ces cons.
Lancelot du Lac	Non mais c’est pas vrai ! C’est une vraie déclaration de guerre ou quoi !
Arthur Pendragon	Qu’est-ce qu’on fait ? On va pas les laisser camper sur nos terres sans rien dire quand même ?
Lancelot du Lac	Non, en plus les burgondes, ils sont dégueulasses. Ils mangent salement et ramassent même pas leurs détritus.
Lancelot du Lac	Vous inquiétez pas Sire, y’a pas de raisons que ça se passe mal.
Arthur Pendragon	Ça fait bizarre quand même. Allez négocier un traité de paix tout seul comme ça.
Lancelot du Lac	C’est mieux ! Roi contre roi, face à face !
Arthur Pendragon	A table en plus ! Ça fait pas un peu négligé comme traité de paix !
Lancelot du Lac	Vous avez vu le gars ? A mon avis, il aime bien bouffer ? Ça peut que le mettre dans de bonnes dispositions ?
Arthur Pendragon	Bon, allez, on y va. L’interprète burgonde est là.
Lancelot du Lac	Non mais euh, cette fois-ci, y’a pas d’interprète.
Arthur Pendragon	Pas d’interprète ? Non mais vous vous foutez de moi ? Vous croyez peut-être que je vais tailler la bavette en burgonde ?
Lancelot du Lac	D’après le message de son ministre, il a pris des leçons pour parler notre langue. Il s’en sort pas mal il paraît.
Arthur Pendragon	Attendez, le roi Burgonde, il parle notre langue ?
Lancelot du Lac	Il a pris des leçons.
Arthur Pendragon	Ben il part pas gagnant le traité de paix !
Lancelot du Lac	Ça vous donne une occasion de le flatter ! Vous le félicitez pour ses progrès, vous utilisez un vocabulaire très simple…
Arthur Pendragon	Décarre tes troupes de chez moi ou je crame ton pays ! C’est assez simple comme vocabulaire ça !
Le roi burgonde	Cuillère !
Arthur Pendragon	Très bien !
Le roi burgonde	Très bien !
Arthur Pendragon	Cuillère… Cuillère !
Le roi burgonde	Cuillère !
Arthur Pendragon	Non mais ça fait rien !
Le roi burgonde	Ça fait rien !
Arthur Pendragon	Alors, à propos du traité de paix
Le roi burgonde	Ah, Arthur ! Arthur !
Arthur Pendragon	Et ben quoi ?
Le roi burgonde	Cuillère !
Arthur Pendragon	Interprète !
Le roi burgonde	Interprète !
Arthur Pendragon	Interprète !
Le roi burgonde	Interprète ! Cuillère ! Arthur !
Arthur Pendragon	Quoi ?
Le roi burgonde	La fleur en bouquet fane, et jamais ne renaît !
Arthur Pendragon	Vous traduisez exactement ce que je vous dis, là on est en train de jouer la paix du royaume, on discute pas météo.
Le roi burgonde	Météo !
Séli	Non mais attendez, j’ai jamais dis que je parlais burgonde moi !
Arthur Pendragon	Qu’est-ce que vous foutez là alors ?
Séli	J’ai dis que quand j’étais gamine chez les Pictes, j’avais une petite copine prisonnière qui était burgonde !
Arthur Pendragon	Et ben, vous parlez burgonde ?
Séli	Non ! Mais si il parle un peu votre pote, y’a peut-être quelques mots qui vont me revenir !
Arthur Pendragon	Ah non, mais c’est pas vrai…
Le roi burgonde	Arthur ! Pas changer assiette pour fromage !
Séli	C’est pas du burgonde ça.
Arthur Pendragon	Bon, est-ce que vous savez dire "traité de paix" ?
Séli	Je sais pas dire "traité".
Arthur Pendragon	Est-ce que vous savez dire "paix" ?
Séli	Euh… non, je sais plus.
Le roi burgonde	Cuillère ! Cuillère ! Cuillère ! Cuillère ! Avé César !
Séli	Hé ! Signez là, le machin !
Le roi burgonde	Cuillère !
Arthur Pendragon	Mais qu’est-ce que vous faites là ?
Séli	Bon, on va pas y passer la nuit !
Le roi burgonde	Cuillère !
Séli	Haha ! Hop, et voilà !
Arthur Pendragon	Mais, il comprend pas ce qu’il signe, il risque pas de retirer ses troupes !
Le roi burgonde	Les troupes ! Troupa, troupa, troupa, troupa… ! Troupaskaia… !
