Bohort	Sire, Sire, Sire ! Une missive de la plus haute importance ! Ça vient de Rome !
Arthur Pendragon	Merci !
Arthur Pendragon	Mais merde à la fin ! Qu’est-ce qui lui prend au pape de me prendre de haut, comme ça !
Père Blaise	Sir, tous les autres royaumes ont déjà une cathédrale !
Arthur Pendragon	On a cinq minutes, nan ? Alors qu’est-ce que ça veut dire ça
Père Blaise	Ben pour le pape !
Arthur Pendragon	Le pape !
Père Blaise	Sa sainteté a peut-être l’impression que vous y mettez de la mauvaise volonté !
Arthur Pendragon	Peut-être ! Y se trouve que j’ai autre chose à foutre que de faire construire des baraques de quatre-cents pieds de haut et qui vont me coûter la peau des fesses !
Père Blaise	Oui ben en attendant, on n’a pas le choix !
Père Blaise	Ben on va pas devenir une terre barbare non ?
Père Blaise	Pis, en plus, le problème c’est que les bâtisseurs de cathédrale, ça court pas la campagne ! Sur ce coup-là il nous faut un sacré spécialiste !
Arthur Pendragon	Un sacré spécialiste ? Le premier trou-duc qui sait mettre trois pierres les unes sur les autres ça ira bien ?
Venec	Ah mais si vous voulez de la pierre, c’est pas le problème, moi je vous mets de la pierre. Par contre, je préfère vous prévenir, c’est pas le même budget.
Père Blaise	Enfin, on construit plus les édifices religieux en bois ! Surtout pour un machin de cette taille !
Venec	Moi je vous dis, c’est comme vous voulez ! Par contre c’est con ! Moi, par exemple, je suis en affaire avec un pote germain qui tient une scierie, ben là c’est sûr, si on part sur du sapin, moi je vous tiens un tarif aux oignons !
Père Blaise	Sire ? Tout va bien ?
Arthur Pendragon	Ouais, ouais. Dites donc Venec, vous en avez déjà construit combien des cathédrales.
Venec	Ben disons que je me lance, quoi !
Arthur Pendragon	Ah ouais. Par ce que moi, la dernière fois que je vous ai vu, vous faisiez quand même dans le commerce d’esclaves.
Venec	Mais je fais toujours esclaves ! J’ai un dépôt-vente sur la côte ! Mais c’est complémentaire avec la cathédrale ! Si j’ai un coup de bourre sur le chantier, je renforce mon équipe avec du chinetoque ou du boucaque, selon ce que j’ai en stock sur le moment, comme ça je suis jamais pris de court !
Père Blaise	Et les cathédrales en ce moment, ça tourne bien ?
Venec	Je le veux ! Tout le monde se fait bourrer le mou par les curetons, comme quoi si on n’a pas sa cathédrale, on n’est même pas civilisé !
Père Blaise	C’est un peu plus compliqué que ça.
Arthur Pendragon	Ben non, pas tellement ! Vous voulez relire la lettre de l’autre, là !
Venec	Dites, on continue sur les détails ou on règle la question du pognon tout de suite ?
Venec	Nan mais je vais pas vous jouer de la flûte ! Pour tout ce qui est questions techniques, faut voir ça avec mon architecte égyptien !
Père Blaise	Votre architecte égyptien ?
Venec	Un vrai phénomène ! Y m’a coûté bonbon ! J’l’ai échangé contre trois gladiateurs à la foire de Glastonbury !
Arthur Pendragon	Bon alors à part le pognon qu’est-ce qu’on doit voir avec vous exactement ?
Venec	Ben, tout ce qui est niveau de prestations, finissions, déco…
Père Blaise	Niveau prestation ?
Venec	Ben ouais ! Si vous voulez que ça ait de la gueule, faut définir un style, une ambiance ! Bon, par exemple
Père Blaise	Sire !
Venec	Ben quoi ?
Venec	Vous êtes pas emballés.
Arthur Pendragon	Par quoi ? La pyramide en sapin aménagée en maison de passe ? C’est surtout le pape qui risque de pas être emballé ?
Venec	Non mais, eh ! Deux trois sacs de bijoux sous la table, et boum ! Y vous péteras plus les bonbons votre pape !
Père Blaise	C’est vrai qu’on dit qu’il est pas insensible aux petits cadeaux !
Arthur Pendragon	C’est sûr, ce serait un moyen de contourner le problème. Seulement pour ça faut du cash…
Père Blaise	Ouais, et niveau liquidité, on a connu meilleur.
Venec	Je vous ai déjà dit que je prête du pognon à des taux vraiment pas dégueulasse ?
