Le tavernier	Entre les taxes, les routes enneigées, les postes de frontières qui bloquent les livraisons, les bagarreurs qui viennent me dévaster la cabane deux fois par semaine… J’étais déjà colère, mais là… Je crois que j’ai atteint… le paroxysme.
Perceval de Galles	Ouais, c’est pas faux.
Perceval de Galles	C’est quand même du velours cette botte secrète.
Karadoc	C’est imparable.
Perceval de Galles	Un mot compliqué, tac, "C’est pas faux" et tout le monde y voit que du feu.
Karadoc	Le gars qu’a pas beaucoup de vocabulaire, ça lui change la vie !
Perceval de Galles	Ah moi j’l’utilise quinze fois par jours au moins.
Karadoc	Attention ! Si ça se remarque, après c’est foutu !
Perceval de Galles	Ça se voit pas !
Karadoc	Et dans les conversations où ya que des mots difficiles ?
Perceval de Galles	Bah j’arrête pas de dire "C’est pas faux".
Karadoc	Nan, mais sans déconner, faîtes gaffe ! Parce que si les gens pigent la combine, après on va vraiment passer pour des gros cons !
Perceval de Galles	Bah si je comprends pas le mot ?
Karadoc	Bon, pour pas épuiser le truc, un coup en passant vous dîtes que vous comprenez pas le mot.
Perceval de Galles	Ah bon ? On passe pas pour des glands ?
Karadoc	Bah une fois de temps en temps, faut se dire, tant pis, aujourd’hui, je passe pour un gland.
Perceval de Galles	Ouais, remarquez ça va, c’est pas comme si on passait pour des glands tous les jours.
Arthur Pendragon	Qu’est ce que vous voulez, ça fait pas plaisir de taxer hein. Si je pouvais annuler toutes les taxes euh, je le ferais.
Perceval de Galles	de toute façon faut pas les écouter les pécores, y sont jamais contents.
Arthur Pendragon	Les taxes, c’est censé être utilisé pour les problèmes des paysans. Et quand on les entend parler, leur seul problème c’est les taxes. Y’a une vrai dichotomie là.
Perceval de Galles	Ouais c’est pas faux.
Arthur Pendragon	Puis finalement ça gueule mais ça se fait quand même. Y se révoltent mais y payent plus ou moins, nous on utilise les fonds plus ou moins à bon escient…
Perceval de Galles	Ah c’est pas faux.
Arthur Pendragon	C’est à dire ?
Perceval de Galles	Quoi c’est à dire ?
Arthur Pendragon	Qu’est-ce qu’est pas faux ?
Perceval de Galles	bah ce que vous avez dit là, c’est pas faux.
Arthur Pendragon	Ouais… Toute façon faudra bien trouver un terrain d’entente, on peut pas avoir que des rapports belliqueux non plus.
Perceval de Galles	Ouais, c’est pas faux.
Arthur Pendragon	C’est pas faux…
Perceval de Galles	Bah ouais.
Arthur Pendragon	Mmm.
Arthur Pendragon	Et vous êtes d’accord aussi pour dire aussi que… la définition même des taxes, et les critiques qu’elles soulèvent forment uneeee… dichotomie ?
Perceval de Galles	C’est… Non je connais pas ce mot là.
Angharad	Ça me fait bizarre quand même de dîner à la table des maîtres.
Perceval de Galles	Ça risque rien, y sont en Carmélide.
Angharad	Bah oui, mais s’ils le savaient, je me prendrais une de ces danses moi !
Perceval de Galles	Pas forcément ! Vous êtes avec moi !
Angharad	Vous avez raison, j’oublie que je dîne avec une des plus hautes autorités du royaume.
Perceval de Galles	Euh vous savez, si Arthur me voyait bouffer à sa table, je me prendrais une grosse tarte dans la gueule.
Angharad	Alors vous prenez des risque là.
Perceval de Galles	Y sont en Carmélide et pis on fait de mal à personne.
Angharad	Heureusement que je vous ai, qu’est-ce que je serais moi sans vous ? Un pauvre hère ?
Perceval de Galles	Ouais c’est pas faux.
Angharad	Vous savez je m’accroche pas à vous par désespoir.
Perceval de Galles	Ah bon ?
Angharad	Je voudrais vous poser une question. Ça va vous paraître un peu osé, mais euhhh, y faut que je sache.
Perceval de Galles	Allez-y.
Angharad	Euh, je voudrais être certaine que vous ressentez la même chose que moi… Seigneur Perceval, est-ce que oui ou non, tout comme moi, vous vivez une idylle ?
Perceval de Galles	Je connais pas ce mot là.
Angharad	Vous voulez dire que nos sentiments divergent ?
Perceval de Galles	Ouais, c’est pas faux.
Perceval de Galles	C’est bien d’avoir affiné le truc, ça varie un peu.
Karadoc	Vous en avez eu besoin ces derniers jours ?
Perceval de Galles	Nan mais c’est dingue, y se sont tous mis à me sortir des trucs de fou, j’avais l’impression de parler à des bouquins. Alors là, boum, c’est pas faux, c’est pas faux, un coup de "je connais pas ce mot là". Comme des cons ils étaient.
Karadoc	Bien bravo.
Perceval de Galles	Moi dans la vie j’avais deux ennemis, le vocabulaire et les épinards. Maintenant j’ai la botte secrète et je bouffe plus d’épinards.
