Galessin	Je voudrais inquiéter personne, mais ça m’étonnerait qu’à moitié que les paysans préparent un sale coup !
Léodagan	C’est vrai que ça serait assez leur genre !
Arthur Pendragon	Nan mais c’est possible oui ! Seulement, avant de se le prendre sur la tronche le sale coup, qu’est-ce que vous voulez qu’on fasse ! On va pas tout faire flamber sur une supposition !
Léodagan	Là vous savez ce que j’en pense, hein ?
Arthur Pendragon	Oui nan mais je sais, ça va merci ! Une autre proposition !
Calogrenant	 Envoyez un espion !
Gauvain	Un espion mon oncle, comme c’est excitant !
Arthur Pendragon	Vous voulez y aller ?
Gauvain	 Euh non non …
Arthur Pendragon	 Bon je vais vous épargner à tous le ridicule, ceux qui ne sont pas volontaires lèvent la main !
Hervé de Rinel	De quoi, désolé je n’écoutais pas …
Guethenoc	Y a quelqu’un ? Ah c’est vous Seigneur Hervé, qu’est-ce qui se passe ?
Hervé de Rinel	Chut !
Guethenoc	Chut ? Vous êtes pas gonflé vous ? Vous entrez chez les gens sans frapper maintenant, qu’est-ce que c’est que ce genre ?
Hervé de Rinel	Est-ce que vous préparez un sale coup ?
Guethenoc	Comment ?
Hervé de Rinel	 Est-ce que vous préparez un sale coup ?
Guethenoc	Un sale coup comment, vous voulez dire ?
Hervé de Rinel	Non ?
Guethenoc	Mais non quoi ?
Hervé de Rinel	Merci !
Hervé de Rinel	 Ils préparent pas un sale coup !
Arthur Pendragon	 Bon bah déjà ça c’est pas mal !
Léodagan	Vous êtes sûr ?
Hervé de Rinel	 Ah ben j’ai fait plusieurs maisons, ils m’ont tous dit la même chose !
Léodagan	 Qu’est-ce qu’ils disent ?
Hervé de Rinel	Ben qu’ils préparent pas un sale coup !
Léodagan	 Oui nan mais je comprends pas …
Arthur Pendragon	 Moi non plus …  Comment vous pouvez être sûr qu’ils ne vous racontent pas des chars ?
Hervé de Rinel	 Ah ils m’ont pas parlé de chars ! J’ai pénétré dans leur lieu d’habitation de façon subrogative !
Léodagan	De façon quoi ?
Arthur Pendragon	Subreptice ?
Hervé de Rinel	En tapinant !
Léodagan	En tapinant ?
Arthur Pendragon	En tapinois !
Léodagan	Dis donc vous êtes balaise vous !
Arthur Pendragon	 Ah bah j’ai de l’entraînement ! Donc vous êtes sûr il y a pas lieu de s’inquiéter !
Hervé de Rinel	 Bah, en rentrant chez eux de façon subrogative en tapinant, je leur ai pas laissé le temps de réfléchir à une réponse ! S’ils avaient préparé un mauvais coup je l’aurai vu !
Guethenoc	 Nan mais moi c’est pour vous, je préfère vous avertir sinon vous allez être embêtés.
Arthur Pendragon	M’avertir de quoi ?
Guethenoc	Ah parce que des chevaliers on en reçoit de toute sorte maintenant alors on a pris le coup, on s’inquiète plus. Même si c’est vrai que des fois on comprend pas tout ce qu’ils racontent bon bah dans l’ensemble, ça se passe pas trop mal, voyez. Pis il y a toujours une proportion de secoués dans tous les métiers de toute façon…
Léodagan	Ah ben je pense bien, regardez les paysans !
Guethenoc	 Ah mais tout à fait, c’est pas moi qui vais vous dire le contraire ! On a deux ou trois belles pièces, il y a pas à rougir !
Arthur Pendragon	Eh ben .
Guethenoc	Eh ben celui d’hier que vous m’avez envoyé, attention j’ai jamais vu ça et pourtant j’en ai vu du . du barré congénital, du dégénéré de la campagne, j’en ai vu un paquet hein . Mais lui on ne comprend ni ce qui fait, ni ce qui dit …. C’est rare.
Arthur Pendragon	 Nan mais c’est un peu particulier parce qu’il était en mission spéciale.
Guethenoc	Ah oui oui oui, il nous a dit euh … subrogative !
Léodagan	Oui enfin subrogative en faisant le tapin …
Arthur Pendragon	Soutenez pas surtout vous …
Léodagan	Soutenir quoi ? Les crétins du château ? Mais je passe ma vie à ça ?
Guethenoc	Nan mais ce que je voulais vous dire, c’est que la nature est trop hostile pour un gars comme ça ! Nan mais un de ces jours, il y a un agriculteur qui va pas se poser de question et qui va lui mettre une fourche dans la tête ! Alors c’est pour ça je viens vous voir !
Arthur Pendragon	Trop aimable.
Léodagan	Et dites euh …
Arthur Pendragon	Ah oui alors c’est ça, on voulait vous poser une question
Guethenoc	Comment ?
Hervé de Rinel	Il y en a un qui m’a dit qu’il préparait un chou farci !
Arthur Pendragon	Eh ben ?
Hervé de Rinel	 Et ben c’est un sale coup ou pas ça ?
Léodagan	Quoi le chou farci ?
Hervé de Rinel	Ben oui moi j’ai pas su dire !
Arthur Pendragon	Bon c’est bon Hervé, mission accomplie.
Hervé de Rinel	A vos ordres Sire.
Arthur Pendragon	Allez vous reposer, vous l’avez bien mérité.
Léodagan	Quoi que moi j’ai connu un chou farci … c’était un sale coup !
