Perceval de Galles,Karadoc	Ouf, ouf, ouf…
Arthur Pendragon	Mais qu’est ce que c’est que ce chantier ?
Perceval de Galles	Vous inquiétez pas Sire, on rangera tout après.
Arthur Pendragon	Après quoi ? Qu’est ce que vous foutez ?
Perceval de Galles	Ben, on s’entraîne.
Arthur Pendragon	Vous vous entraînez à mettre le merdier ?
Perceval de Galles	Non, mais on est sur une nouvelle technique là.
Karadoc	Toujours à la pointe !
Arthur Pendragon	Rhabillez-vous et foutez-moi le camp d’ici bande de tarés ! Et tachez moyen de vous occuper à autre chose que d’emmerder le monde ! Et rangez moi ce bordel avant que quelqu’un se fasse mal !
Karadoc	Un jour on était à la taverne…
Perceval de Galles	On était de surveillance dans l’établissement.
Karadoc	Et d’un coup y’en a un qui se lève pour me taper.
Arthur Pendragon	Vous taper ? Pourquoi ?
Perceval de Galles	Non mais il était beurré.
Karadoc	Il m’a pris pour son neveu.
Perceval de Galles	Et d’après ce qu’on a compris, il aimait pas son neveu parce que soi-disant il lui avait volé de la salade ou je sais pas quoi…
Karadoc	Bon, bref, moi je vais pour dégainer mon épée…
Perceval de Galles	Et l’autre, il a attrapé sa cruche et il lui a pété sur la tête.
Karadoc	Enfin il m’a pas pété sur la tête.
Perceval de Galles	Ah non il vous a pété la cruche sur la tête.
Karadoc	Ah ouais voilà.
Perceval de Galles	Et c’est à partir de là qu’on a décidé de développer une nouvelle technique.
Karadoc	C’était notre base de réflexion.
Arthur Pendragon	Ouf !
Perceval de Galles	Quoi ? C’est pas comme ça qu’on dit ?
Arthur Pendragon	Si, si, si, si, c’est comme ça.
Perceval de Galles	Donc on a décidé de s’entraîner à combattre en se servant des objets présents dans l’environnement.
Karadoc	Première étape
Arthur Pendragon	Les objets… ?
Perceval de Galles	Les objets redondants ; les objets qui blessent, quoi. C’est pas comme ça qu’on dit.
Arthur Pendragon	Si, ah, si, si, si, pardon, les objets redondants, pardon, j’avais pas compris. Allez-y…
Perceval de Galles	Allez, un exemple au hasard.
Karadoc	Hop, hé hé hé.
Perceval de Galles	Alors, Sire, est-ce que vous pensez qu’un fenouil, c’est redondant ?
Arthur Pendragon	Ben, c’est-à-dire que je suis pas un pro du combat au fenouil, mais enfin comme ça, instinctivement, je dirais non.
Karadoc	C’était un piège.
Perceval de Galles	Dans ce cas-là, la réponse c’est "oui et non".
Karadoc	Le débutant, qu’est-ce qu’il fait ? Il attrape le fenouil par la tige, et essaye de donner des coups avec la partie sporadique ?
Arthur Pendragon	La "partie sporadique" ?
Perceval de Galles	Ouais, sporadique, c’est quand c’est en forme de boule.
Arthur Pendragon	Mmm.
Karadoc	Vous l’auriez attrapé par la tige, on est d’accord ?
Arthur Pendragon	Toujours dans l’éventualité où je me retrouve à me battre avec un fenouil, hein ?
Perceval de Galles	Ouais.
Arthur Pendragon	Oui, c’est possible, oui.
Karadoc	Et ben, non, en fait, qu’est-ce qu’on constate quand on observe l’objet en détail, c’est que la partie sporadique ne présente pas de prospérité, et que donc, elle est lisse.
Perceval de Galles	Il vaux mieux l’attraper par la partie boulière…
Karadoc	Ou sporadique.
Perceval de Galles	… et se battre avec la tige.
Karadoc	La partie tigeuse.
Perceval de Galles	Dont la pointe peut être considérée comme redondante.
Karadoc	Ça va, Sire, vous suivez ?
Perceval de Galles	Une fois qu’on a analysé la brosse, on sait que la partie redondante, c’est les piquants. Du coup, on s’en sert pour griffer.
Karadoc	Tout à l’heure on vu que le chapelet de saucisse n’était pas un objet redondant… et pourtant on a pu lui trouver une utilisation périmétrique en s’en servant comme un fouet.
Perceval de Galles	Aie ça fouette ! Pareil pour la flûte ! Même si on l’a analysée redondante parce qu’elle est un peu pointue il vaut mieux s’en servir à agacer !
Karadoc	Ah je suis agacé ! Puisqu’il y a agacement il y a déconcentration ! Et qu’est ce qu’on fait !
Karadoc	On utilise un objet que l’on avait mis de côté car il ne présentait pas de prospérité, mais qui, dans la situation actuelle, devient utile.
Karadoc	Hop ! Et je ne suis plus agacé, mes oreilles sont protégées, on peut reprendre le combat !
Perceval de Galles	Vous voulez essayer Sire ?
Karadoc	Bien ! Bien ! Très bien ! Très - belle - passe !
Perceval de Galles	Attention ! Maintenant Sire, vous lâchez tous les objets !
Karadoc	On vous attaque à deux et vous improvisez avec ce qui vous tombe sous la main derrière vous.
Perceval de Galles	…Non mais Sire c’est n’importe quoi là !
