Léodagan,Séli	Ahhh !
Yvain	Ah, ah, qu’est ce qui il y a ?
Séli	Ah bah non.
Léodagan	Perdu ! Non … Non mais je me disais aussi…
Yvain	Mais quoi ?
Séli	Non, rien. La clodo, rouquine, qui traîne dans le château… Personne arrive à mettre la main dessus, alors avec votre père on se demandait si elle était pas là.
Léodagan	Une pouilleuse que vous auriez trouvé je sais pas où… Comme vous nous ramenez que des emmerdements… un de plus, un de moins.
Séli	Oui y’a une certaine logique… Mais… Bah non. Bon ben, allez.
Léodagan	Et puis dormez hein, parce qu’alors…
La Dame du Lac	Vous faites quoi ?
Arthur Pendragon	Vous le finissez ce lait, oui ? Pas avec la langue je vous ai dit ? Vous buvez normalement ou je vous l’enlève ? De toute façon dans cinq minutes je vous ramène dans votre chambre, y’en a marre ?
La Dame du Lac	J’ai froid aux pieds.
Arthur Pendragon	Moi aussi j’ai froid aux pieds.
La Dame du Lac	Pffrrr, c’est trop nul d’être terrestre, hein !
Arthur Pendragon	Ça, je peux pas vous dire, j’ai pas tellement d’éléments de comparaison.
La Dame du Lac	Vous voulez pas lire à haute voix ?
Arthur Pendragon	A haute voix ? Les traités d’alliance avec les clans irlandais ? Non, merci ça va ? De toute façon je vais arrêter, j’en ai marre… ?
La Dame du Lac	On pourrait pas aller au lac ?
Arthur Pendragon	Au lac… maintenant ?
La Dame du Lac	Non pas maintenant, mais demain.
Arthur Pendragon	Mais qu’est ce vous voulez qu’on ailles faire au lac ?
La Dame du Lac	Non mais je sais pas… je me disais, la dame du lac… Peut-être que si j’y retourne, il y aura un déclic. Les dieux, quand ils me verront devant le lac, ils auront peut-être pitié. "Ah lala, la pauvre.", et tac ils me rappellent.
Arthur Pendragon	Ecoutez, vous êtes bien gentille mais j’ai autre chose à foutre que d'aller au lac demain.
La Dame du Lac	Allez ! Et puis vous me devez bien ça ! Je vous rappelle quand même que c’est de votre faute…
Arthur Pendragon	Oui ça va, ça va, on le saura que c’est ma faute, hein !
La Dame du Lac	Allez ! heu !
La Dame du Lac	Hé ! On prend un pique nique !
Arthur Pendragon	Bon vous y allez, oui !
La Dame du Lac	Mais ça me mouille le pied.
Arthur Pendragon	Evidemment que ça mouille le pied. C’est un lac. Un lac ça mouille le pied.
La Dame du Lac	Oui, ben d’habitude ça mouille pas. Le pied, il rentre dans l’eau mais il reste sec.
Arthur Pendragon	Non mais c’est pas vrai ! Mais vous croyez que j’ai que ça à foutre, sans déconner, de vous amener à la baignade moi !
La Dame du Lac	Bon, venez me porter !
Arthur Pendragon	Quoi ?
La Dame du Lac	Venez me porter, juste les premiers pas… je suis sûre que si vous me donnez un petit coup de pouce ça va marcher.
Arthur Pendragon	Mais vous vous foutez de moi !
La Dame du Lac	Vite, vite, je sens qu’il y a quelque chose qui se passe là.
La Dame du Lac	Ah voilà ! Ah oui voilà ça revient, ouais ouais, je le sens ! Ayé, c’est revenu comme avant !
Arthur Pendragon	Et là, qu’est ce que je fais, je vous lâche ?
La Dame du Lac	Hé ben c’est bon. Allez-y, lâchez-moi. Je vais flotter au dessus de l’eau.
Arthur Pendragon	Ca marche pas ? Hé ? Ça marche pas ?
Arthur Pendragon	Mais c’est pas possible que la dame du lac elle sache pas nager !
Arthur Pendragon	Il faut pas vous en faire. Moi je crois que c’était trop tôt, voilà c’est tout.
La Dame du Lac	Et si je pouvais plus jamais retourner d’où je viens, si les dieux voulaient  définitivement plus de moi ?
Arthur Pendragon	Mais non, mais non, allons… je crois qu’ils veulent vous donner une leçon alors voilà, ils vous flanquent le tracsir.
La Dame du Lac	Mais vous rendez compte si je suis obligée de rester ici pour l’éternité.
Arthur Pendragon	Ah bah, ici déjà, c’est pas pour l’éternité.
La Dame du Lac	Oh… vous êtes pas en train de me dire que je suis devenue mortelle aussi ?
Arthur Pendragon	Non… mais non…
Arthur Pendragon	…enfin ou alors oui, ce serait vraiment pas de bol, quoi…
